鲁迅	中国	伟大也要有人懂。	《叶紫作序》（1935年）
鲁迅	中国	轻敌最容易失败。	《致萧军》（1935年6月7日）
鲁迅	中国	从来如此，便对么？	《狂人日记》（1918年）
鲁迅	中国	辱骂和恐吓决不是战斗	《致〈文学月报〉编辑的一封信》的标题（1932年）
鲁迅	中国	谦以待人，虚以接物。	《论讽刺》（1935年）
鲁迅	中国	和尚动得，我动不得？	《阿Q正传》（1921年）中，主角的台词
鲁迅	中国	石在，火種是不會絕的。	《「题未定」草（六至九）》（1935年）
鲁迅	中国	读书人的事，能算偷么？	《孔乙己》（1919年）中的主角台词 衍生meme句式：oo的事，怎么能叫xx呢？
鲁迅	中国	中国人不疑自己的多疑。	《我要骗人》（1936年）
鲁迅	中国	今天晚上，很好的月光。	《狂人日记》（1918年）的开头
鲁迅	中国	我决不出难题给别人做。	《致曹聚仁》（1934年8月13日）
鲁迅	中国	叛徒常常比敌人更可恶。	《颂萧》（1933年）
鲁迅	中国	苟活就是活不下去的初步。	《北京通信》（1925年）
鲁迅	中国	小作为比大作为更烦难的。	《娜拉走后怎样》（1923年）
鲁迅	中国	你怎么这样凭空污人清白？	《孔乙己》（1919年）中的主角台词
鲁迅	中国	狗往往比它的主人更严厉。	《小杂感》（1927年）
鲁迅	中国	史家之绝唱，无韵之离骚。	《汉文学史纲要·第十篇》（1926年），鲁迅评《史記》
鲁迅	中国	凡事总须研究，才会明白。	《狂人日记》（1918年）
鲁迅	中国	我可不怕，仍旧走我的路。	《狂人日记》（1918年）
鲁迅	中国	愤恨只是恨恨而死的根苗。	《随感录六十二》（1919年）
鲁迅	中国	人必生活着，愛才有所附麗。	《傷逝》（1925年）
鲁迅	中国	不多不多！多乎哉？不多也。	《孔乙己》（1919年）中的主角台词
鲁迅	中国	回字有四样写法，你知道么？	《孔乙己》（1919年）中的主角台词
鲁迅	中国	倘能生存，我当然仍要学习。	《答徐懋庸并关于抗日统一战线问题》（1936年）
鲁迅	中国	我实在没有说过这样一句话。	《致台静农》（1932年12月13日）
鲁迅	中国	呵呵！祝你安好。我是好的。	《致李小峰》（1927年9月3日）
鲁迅	中国	与其多而不佳，不如少而好。	《致陈烟桥》（1934年4月12日）
鲁迅	中国	以謠言殺人，也以謠言被殺。	《谣言世家》（1933年）
鲁迅	中国	阿呀，骇死我了，骇死我了。	《阿长与山海经》（1926年） 衍生meme语句：啊呀，骇死我力！
鲁迅	中国	待我成尘时，你将见我的微笑！	《墓碣文》（1925年）
鲁迅	中国	梦是好的；否则，钱是要紧的。	《娜拉走后怎样》（1923年）
鲁迅	中国	绝望之为虚妄，正与希望相同！	《希望》（1925年）
鲁迅	中国	能忏悔的人，精神是极其崇高的。	《中国文坛上的鬼魅》（1934年）
鲁迅	中国	爱情必须时时更新，生长，创造。	《傷逝》（1925年）
鲁迅	中国	我不习于交际，对人常失之粗卤。	《致娄如瑛》（1934年5月1日）
鲁迅	中国	依傍和模仿，决不能产生真艺术。	《记苏联版画展览会》（1936年）
鲁迅	中国	改造自己，总比禁止别人来得难。	《论毛笔之类》（1935年）
鲁迅	中国	凡有被捧者，十之九不是好东西。	《这个与那个》（1925年）
鲁迅	中国	删夷枝叶的人，决定得不到花果。	《这也是生活》（1936年）
鲁迅	中国	有真意，去粉饰，少做作，勿卖弄。	《作文秘诀》（1933年）
鲁迅	中国	豈有豪情似舊時，花開花落兩由之。	《悼杨铨》（1933年）
鲁迅	中国	心事浩茫連廣宇，於無聲處聽驚雷。	《无题》（1934年）
鲁迅	中国	中国老例，一死是常常能够增价的。	《玩笑只当它玩笑（上）》（1934年）
鲁迅	中国	无情未必真豪杰，怜子如何不丈夫。	《答客诮》（1931年）
鲁迅	中国	横眉冷对千夫指，俯首甘为孺子牛。	《自嘲》（1932年）
鲁迅	中国	躲进小楼成一统，管他冬夏与春秋。	《自嘲》（1932年）
鲁迅	中国	寄意寒星荃不察，我以我血荐轩辕。	《自题小像》（1903年）
鲁迅	中国	宁可与敌人明打，不欲受同人暗算。	《致娄如瑛》（1934年5月1日）
鲁迅	中国	这样的人血馒头，什么痨病都包好！	《药》（1919年）中的台词
鲁迅	中国	中国本来是撒谎国和造谣国的联邦。	《通讯（复孙伏园）》（1925年）
鲁迅	中国	度尽劫波兄弟在，相逢一笑泯恩仇。	《题三义塔》（1933年）
鲁迅	中国	这种争斗我也看得够了，由他去吧！	见章衣萍的回忆文章《古庙杂谈（五）》（1925年）
鲁迅	中国	顽劣，钝滞，都足以使人没落，灭亡。	《上海的儿童》（1933年）
鲁迅	中国	我至今终于不明白我一向是在做什么。	《写在后面》（1926年）
鲁迅	中国	意圖生存，而太卑怯，結果就得死亡。	《北京通信》（1925年）
鲁迅	中国	中医不过是一种有意的或无意的骗子。	《呐喊自序》（1922年）
鲁迅	中国	要有茂林嘉卉，却非先有这萌芽不可。	《序》（1934年）
鲁迅	中国	其实，先驱者本是容易变成绊脚石的。	《新的世故》（1927年）
鲁迅	中国	生活太安逸了，工作就被生活所累了。	孙伏园《哭鲁迅先生》中对鲁迅言论的回忆
鲁迅	中国	世间有一种无赖精神，那要义就是韧性。	《娜拉走后怎样》（1923年）
鲁迅	中国	衷悲所以哀其不幸，疾视所以怒其不争。	《摩罗诗力说》（1907年） 衍生语句：哀其不幸，怒其不争。
鲁迅	中国	我们之间已经隔了一层可悲的厚障壁了。	《故鄉》（1921年）
鲁迅	中国	必须和实社会接触，使所读的书活起来。	《读书杂谈》（1927年）
鲁迅	中国	人类的悲欢并不相通，我只觉得他们吵闹。	《小杂感》（1927年）
鲁迅	中国	只要能培一朵花，就不妨做做会朽的腐草。	《近代世界短篇小说集·小引》（1929年）
鲁迅	中国	不能真心领得苦痛，也便难有新生的希望。	《随感录》（1918年至1919年）
鲁迅	中国	一切事物，在转变中，是总有多少中间物的。	《写在后面》（1926年）
鲁迅	中国	人生多苦辛，而人们有时却极容易得到安慰。	《写在后面》（1926年）
鲁迅	中国	最高的轻蔑是无言，而且连眼珠也不转过去。	《半夏小集》（1936年）
